id,clothtype,type,price,pricerate,weight,quality,level,material,occupation,condition1,condition2,stat1,stat2,defense,magicresistence,atkdistmvsped,attackpower,attackspeed,itemgrade
22,1,111,3050,0,3,65,0,0,0|0|0,31|50,0|0,13|15,25|250,0,0,0,0,0,0
23,1,111,3100,0,3,65,0,0,0|0|0,31|50,0|0,10|15,19|30,0,0,0,0,0,0
24,1,111,3300,0,0,65,9,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
25,1,111,3350,0,0,65,9,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
26,1,111,3550,0,0,65,9,0,0|0|0,0|0,0|0,14|20,0|0,0,0,0,0,0,0
27,1,111,3750,0,0,65,10,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
28,1,111,3800,0,0,65,10,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
29,1,111,4000,0,0,65,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
30,1,111,4100,0,0,65,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
31,1,112,1000,10,2,30,2,64,0|0|0,0|0,0|0,10|15,0|0,0,0,0,0,0,0
32,1,112,1100,10,2,33,3,65,0|0|0,0|0,0|0,12|15,0|0,0,0,0,0,0,0
33,1,112,1150,10,2,35,4,66,0|0|0,0|0,0|0,13|15,0|0,0,0,0,0,0,0
34,1,112,1250,10,2,38,5,67,0|0|0,0|0,0|0,11|15,0|0,0,0,0,0,0,0
35,1,112,1300,10,2,40,6,68,0|0|0,0|0,0|0,14|40,0|0,0,0,0,0,0,0
36,1,112,1400,10,5,65,0,0,0|0|0,0|0,0|0,39|250,0|0,0,0,0,0,0,0
37,1,112,1550,0,0,65,4,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
38,1,112,1600,10,3,48,9,69,0|0|0,0|0,0|0,15|15,0|0,0,0,0,0,0,0
39,1,112,1700,0,0,65,5,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
40,1,112,1750,0,0,65,5,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
41,1,112,1900,0,0,65,5,0,0|0|0,0|0,0|0,14|11,0|0,0,0,0,0,0,0
42,1,112,2050,0,0,65,6,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
43,1,112,2100,0,0,65,6,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
44,1,112,2250,0,0,65,6,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
45,1,112,2300,0,0,65,6,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
46,1,112,2450,0,0,65,7,0,0|0|0,0|0,0|0,14|14,0|0,0,0,0,0,0,0
47,1,112,2650,0,0,65,7,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
48,1,112,2700,0,0,65,7,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
49,1,112,2850,0,0,65,7,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
50,1,112,2900,0,0,65,8,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
51,1,112,3100,0,0,65,8,0,0|0|0,0|0,0|0,14|17,0|0,0,0,0,0,0,0
52,1,112,3300,0,0,65,8,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
53,1,112,3350,0,0,65,8,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
54,1,112,3550,0,0,65,9,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
55,1,112,3600,0,0,65,9,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
56,1,112,3800,0,0,65,9,0,0|0|0,0|0,0|0,14|20,0|0,0,0,0,0,0,0
57,1,112,4000,0,0,65,10,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
58,1,112,4100,0,0,65,10,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
59,1,112,4300,0,0,65,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
60,1,112,4400,0,0,65,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
61,1,113,700,0,0,65,1,0,0|0|0,0|0,0|0,14|5,0|0,0,0,0,0,0,0
62,1,113,800,10,1,30,1,76,0|0|0,0|0,0|0,14|10,18|5,0,0,0,0,0,0
63,1,113,800,0,0,65,1,0,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
64,1,113,950,10,1,35,3,77,0|0|0,0|0,0|0,22|20,0|0,0,0,0,0,0,0
65,1,113,950,0,0,65,2,0,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
66,1,113,1050,0,0,65,2,0,0|0|0,0|0,0|0,14|8,0|0,0,0,0,0,0,0
67,1,113,1200,0,0,65,3,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
68,1,113,1200,0,0,65,3,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
69,1,113,1350,0,0,65,3,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
70,1,113,1350,0,0,65,4,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
71,1,113,1500,0,0,65,4,0,0|0|0,0|0,0|0,14|11,0|0,0,0,0,0,0,0
72,1,113,1650,0,0,65,4,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
73,1,113,1700,10,1,58,5,78,0|0|0,0|0,0|0,18|40,0|0,0,0,0,0,0,0
74,1,113,1800,0,0,65,5,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
75,1,113,1850,0,0,65,5,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
76,1,113,2000,0,0,65,5,0,0|0|0,0|0,0|0,14|14,0|0,0,0,0,0,0,0
77,1,113,2150,0,0,65,6,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
78,1,113,2200,0,0,65,6,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
79,1,113,2400,0,0,65,6,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
80,1,113,2450,0,0,65,7,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
81,1,113,2600,0,0,65,7,0,0|0|0,0|0,0|0,14|17,0|0,0,0,0,0,0,0
82,1,113,2800,0,0,65,7,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
83,1,113,2850,0,0,65,8,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
84,1,113,3000,0,0,65,8,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
85,1,113,3050,0,0,65,8,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
86,1,113,3250,0,0,65,9,0,0|0|0,0|0,0|0,14|20,0|0,0,0,0,0,0,0
87,1,113,3450,0,0,65,9,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
88,1,113,3500,0,0,65,10,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
89,1,113,3750,0,0,65,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
90,1,113,3800,0,0,65,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
91,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
92,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
93,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
94,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
95,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
96,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
97,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
98,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
99,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
100,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
101,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
102,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
103,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
104,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
105,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
106,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
107,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
108,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
109,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
110,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
111,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
112,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
113,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
114,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
115,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
116,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
117,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
118,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
119,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
120,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
121,1,111,2000,10,1,65,9,60,0|0|0,31|70,0|0,21|100,19|100,0,0,0,0,0,0
122,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
123,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
124,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
125,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
126,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
127,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
128,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
129,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
130,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
131,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
132,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
133,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
134,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
135,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
136,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
137,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
138,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
139,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
140,1,113,350,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
150,1,111,0,1,2,65,0,0,0|0|0,0|0,0|0,15|45,0|0,0,0,0,0,0,0
151,1,111,0,1,2,65,0,0,0|0|0,0|0,0|0,10|21,0|0,0,0,0,0,0,0
152,1,111,0,1,2,65,0,0,0|0|0,0|0,0|0,11|21,0|0,0,0,0,0,0,0
153,1,111,0,1,2,65,0,0,0|0|0,0|0,0|0,12|21,0|0,0,0,0,0,0,0
154,1,111,0,1,2,65,0,0,0|0|0,0|0,0|0,13|21,0|0,0,0,0,0,0,0
155,1,111,0,1,2,65,0,0,0|0|0,0|0,0|0,15|21,0|0,0,0,0,0,0,0
156,1,111,1000,1,2,65,0,0,0|0|0,0|0,0|0,15|21,0|0,0,0,0,0,0,0
157,1,111,350,1,2,65,0,0,0|0|0,0|0,0|0,15|21,0|0,0,0,0,0,0,0
161,1,112,0,1,3,65,0,0,0|0|0,0|0,0|0,18|45,0|0,0,0,0,0,0,0
162,1,112,0,1,3,65,0,0,0|0|0,0|0,0|0,19|90,0|0,0,0,0,0,0,0
163,1,112,0,1,3,65,0,0,0|0|0,0|0,0|0,20|30,0|0,0,0,0,0,0,0
164,1,112,0,1,3,65,0,0,0|0|0,0|0,0|0,21|30,0|0,0,0,0,0,0,0
165,1,112,0,1,3,65,0,0,0|0|0,0|0,0|0,22|30,0|0,0,0,0,0,0,0
166,1,112,0,1,3,65,0,0,0|0|0,0|0,0|0,20|30,0|0,0,0,0,0,0,0
167,1,112,0,1,3,65,0,0,0|0|0,0|0,0|0,11|45,23|60,0,0,0,0,0,0
168,1,112,1000,1,3,65,0,0,0|0|0,0|0,0|0,14|60,0|0,0,0,0,0,0,0
169,1,112,777,1,3,65,0,0,0|0|0,0|0,0|0,15|45,0|0,0,0,0,0,0,0
171,1,113,0,1,1,65,0,0,0|0|0,0|0,0|0,23|80,0|0,0,0,0,0,0,0
172,1,113,0,1,1,65,0,0,0|0|0,0|0,0|0,24|30,12|21,0,0,0,0,0,0
173,1,113,0,1,1,65,0,0,0|0|0,0|0,0|0,26|60,0|0,0,0,0,0,0,0
174,1,113,0,1,1,65,0,0,0|0|0,0|0,0|0,27|30,0|0,0,0,0,0,0,0
175,1,113,0,1,1,65,0,0,0|0|0,0|0,0|0,28|30,0|0,0,0,0,0,0,0
176,1,113,0,1,1,65,0,0,0|0|0,0|0,0|0,14|60,0|0,0,0,0,0,0,0
177,1,113,0,1,1,65,0,0,0|0|0,0|0,0|0,20|30,0|0,0,0,0,0,0,0
178,1,113,0,1,1,65,0,0,0|0|0,0|0,0|0,20|30,0|0,0,0,0,0,0,0
179,1,113,0,1,1,65,0,0,0|0|0,0|0,0|0,14|30,20|30,0,0,0,0,0,0
181,1,111,1000,10,1,65,0,0,0|0|0,0|0,0|0,14|30,18|30,0,0,0,0,0,0
182,1,112,1400,10,5,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
183,1,111,5000,10,2,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
201,1,112,0,1,1,65,0,0,0|0|0,0|0,0|0,18|30,20|15,0,0,0,0,0,0
202,1,113,0,1,1,65,0,0,0|0|0,0|0,0|0,18|40,14|40,0,0,0,0,0,0
790,1,111,0,0,0,65,0,0,0|0|0,0|0,0|0,0|0,0|0,0,0,0,0,0,0
1000,1,111,0,10,1,65,0,0,0|0|0,0|0,0|0,15|10,0|0,0,0,0,0,0,0
1001,1,111,0,10,1,65,0,0,0|0|0,0|0,0|0,15|10,0|0,0,0,0,0,0,0
1002,1,111,0,10,1,65,0,0,0|0|0,0|0,0|0,15|10,0|0,0,0,0,0,0,0
1003,1,111,0,10,1,65,0,0,0|0|0,0|0,0|0,15|10,0|0,0,0,0,0,0,0
1004,1,111,0,10,1,65,0,0,0|0|0,0|0,0|0,15|10,0|0,0,0,0,0,0,0
2001,1,111,850,10,1,65,0,0,0|0|0,0|0,0|0,14|5,0|0,0,0,0,0,0,0
2002,1,111,950,10,1,65,0,0,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
2003,1,111,1000,10,2,65,0,0,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
2004,1,111,1100,10,1,65,0,0,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
2005,1,111,1100,10,1,65,0,0,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
2006,1,111,1250,10,2,65,0,0,0|0|0,0|0,0|0,14|8,0|0,0,0,0,0,0,0
2007,1,111,1350,10,3,65,0,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
2008,1,111,1400,10,10,65,0,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
2009,1,111,1550,10,5,65,0,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
2010,1,111,1550,10,7,65,0,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
2011,1,111,1700,10,5,65,0,0,0|0|0,0|0,0|0,14|11,0|0,0,0,0,0,0,0
2012,1,111,1850,0,0,65,0,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
2013,1,111,30000,1,2,65,0,0,0|0|0,31|70,0|0,21|15,22|10,0,0,0,0,0,0
2014,1,111,2050,0,0,65,0,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
2015,1,111,2100,0,0,65,0,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
2016,1,111,2250,0,0,65,0,0,0|0|0,0|0,0|0,14|14,0|0,0,0,0,0,0,0
2017,1,111,2400,0,0,65,0,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
2018,1,111,2450,0,0,65,0,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
2019,1,111,2600,0,0,65,0,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
2020,1,111,2650,0,0,65,0,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
2021,1,111,2850,0,0,65,0,0,0|0|0,0|0,0|0,14|17,0|0,0,0,0,0,0,0
2022,1,111,3050,0,0,65,0,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
2023,1,111,3100,0,0,65,0,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
2024,1,111,3300,0,0,65,0,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
2025,1,111,3350,0,0,65,0,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
2026,1,111,3550,0,0,65,0,0,0|0|0,0|0,0|0,14|20,0|0,0,0,0,0,0,0
2027,1,111,3750,0,0,65,0,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
2028,1,111,3800,0,0,65,0,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
2029,1,111,4000,0,0,65,0,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
2030,1,111,4100,0,0,65,0,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
2031,1,112,1000,10,2,65,0,0,0|0|0,0|0,0|0,14|5,0|0,0,0,0,0,0,0
2032,1,112,1100,10,2,65,0,0,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
2033,1,112,1150,10,2,65,0,0,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
2034,1,112,1250,10,2,65,0,0,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
2035,1,112,1300,10,2,65,0,0,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
2036,1,112,1400,0,0,65,0,0,0|0|0,0|0,0|0,14|8,0|0,0,0,0,0,0,0
2037,1,112,1550,0,0,65,0,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
2038,1,112,1600,10,3,65,0,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
2039,1,112,1700,0,0,65,0,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
2040,1,112,1750,0,0,65,0,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
2041,1,112,1900,0,0,65,0,0,0|0|0,0|0,0|0,14|11,0|0,0,0,0,0,0,0
2042,1,112,2050,0,0,65,0,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
2043,1,112,2100,0,0,65,0,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
2044,1,112,2250,0,0,65,0,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
2045,1,112,2300,0,0,65,0,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
2046,1,112,2450,0,0,65,0,0,0|0|0,0|0,0|0,14|14,0|0,0,0,0,0,0,0
2047,1,112,2650,0,0,65,0,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
2048,1,112,2700,0,0,65,0,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
2049,1,112,2850,0,0,65,0,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
2050,1,112,2900,0,0,65,0,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
2051,1,112,3100,0,0,65,0,0,0|0|0,0|0,0|0,14|17,0|0,0,0,0,0,0,0
2052,1,112,3300,0,0,65,0,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
2053,1,112,3350,0,0,65,0,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
2054,1,112,3550,0,0,65,0,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
2055,1,112,3600,0,0,65,0,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
2056,1,112,3800,0,0,65,0,0,0|0|0,0|0,0|0,14|20,0|0,0,0,0,0,0,0
2057,1,112,4000,0,0,65,0,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
2058,1,112,4100,0,0,65,0,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
2059,1,112,4300,0,0,65,0,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
2060,1,112,4400,0,0,65,0,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
2061,1,113,700,0,0,65,0,0,0|0|0,0|0,0|0,14|5,0|0,0,0,0,0,0,0
2062,1,113,800,10,1,65,0,0,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
2063,1,113,800,0,0,65,0,0,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
2064,1,113,950,10,1,65,0,0,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
2065,1,113,950,0,0,65,0,0,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
2066,1,113,1050,0,0,65,0,0,0|0|0,0|0,0|0,14|8,0|0,0,0,0,0,0,0
2067,1,113,1200,0,0,65,0,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
2068,1,113,1200,0,0,65,0,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
2069,1,113,1350,0,0,65,0,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
2070,1,113,1350,0,0,65,0,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
2071,1,113,1500,0,0,65,0,0,0|0|0,0|0,0|0,14|11,0|0,0,0,0,0,0,0
2072,1,113,1650,0,0,65,0,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
2073,1,113,1700,10,1,65,0,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
2074,1,113,1800,0,0,65,0,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
2075,1,113,1850,0,0,65,0,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
2076,1,113,2000,0,0,65,0,0,0|0|0,0|0,0|0,14|14,0|0,0,0,0,0,0,0
2077,1,113,2150,0,0,65,0,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
2078,1,113,2200,0,0,65,0,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
2079,1,113,2400,0,0,65,0,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
2080,1,113,2450,0,0,65,0,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
2081,1,113,2600,0,0,65,0,0,0|0|0,0|0,0|0,14|17,0|0,0,0,0,0,0,0
2082,1,113,2800,0,0,65,0,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
2083,1,113,2850,0,0,65,0,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
2084,1,113,3000,0,0,65,0,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
