id,type,price,pricerate,weight,quality,pricevalue
78,427,8406,0,5,36,7
79,427,9251,0,5,39,7
80,427,10075,0,5,42,7
81,427,500,0,5,15,7
82,427,1400,0,5,18,7
83,427,1914,0,5,21,7
84,427,2404,0,5,24,7
85,427,2871,0,5,27,7
86,427,3326,0,5,30,7
87,427,3770,0,5,33,7
88,427,4203,0,5,36,7
89,427,4625,0,5,39,7
90,427,5038,0,5,42,7
91,429,265,5,1,35,8
92,429,305,5,1,35,8
93,429,345,5,1,35,8
94,429,395,5,1,35,8
95,429,450,5,1,35,8
96,429,505,5,1,35,8
97,429,570,5,1,35,8
98,429,265,5,2,35,8
99,429,305,5,1,35,8
100,429,345,5,1,35,8
101,429,395,5,3,35,8
102,429,450,5,2,37,8
103,429,10,0,1,39,8
104,429,570,5,1,48,8
105,424,832,5,1,48,3
106,422,5696,5,1,48,1
107,426,934,5,1,48,5
108,425,1344,5,1,48,4
109,423,153,2,1,25,8
110,429,192,2,1,30,8
111,429,265,2,2,32,8
112,429,345,2,2,34,8
113,429,450,2,2,38,8
114,429,570,2,2,42,8
115,429,705,2,2,46,8
116,429,265,2,2,38,8
117,429,345,2,2,34,8
118,429,450,2,2,38,8
119,429,570,2,2,42,8
120,429,705,2,2,46,8
121,429,265,5,5,18,8
122,429,345,5,5,18,8
123,429,450,5,5,18,8
124,429,570,5,5,18,8
125,429,705,5,5,18,8
126,429,265,5,3,30,8
127,429,345,5,3,34,8
128,429,450,5,3,38,8
129,429,570,5,3,42,8
130,429,705,5,3,46,8
131,429,190,5,1,20,0
132,429,845,5,2,40,0
133,429,2275,5,3,60,0
134,429,1445,5,5,50,0
135,429,1445,5,5,60,0
136,429,1445,5,5,70,0
137,429,1445,5,5,80,0
138,429,1445,5,5,90,0
139,429,1445,5,1,13,0
140,429,212,5,1,12,0
141,429,328,5,1,15,0
142,429,500,0,1,32,0
143,429,845,5,2,40,0
144,429,1060,5,2,44,0
145,429,190,5,1,20,0
146,429,175,5,1,25,0
147,429,505,5,1,40,0
148,429,15,5,1,5,0
149,429,265,5,2,30,0
150,429,168,5,1,20,0
151,429,3375,5,5,25,8
152,429,3375,5,5,25,8
153,429,3375,5,5,25,8
154,429,3375,5,5,25,8
155,429,3375,5,5,25,8
156,429,3375,5,5,25,8
157,429,3375,5,5,25,8
158,429,375,5,1,20,8
159,429,35,5,1,20,8
160,429,375,5,1,20,8
161,429,525,10,2,25,8
162,429,525,10,2,25,8
163,429,525,10,2,25,8
164,429,525,10,2,25,8
165,429,253,5,1,12,8
166,429,313,5,1,13,8
167,429,283,5,1,15,8
168,429,168,5,1,13,8
169,429,326,5,1,12,8
170,429,267,5,1,15,8
171,429,60,0,1,12,0
172,429,70,0,2,13,0
173,429,90,0,1,15,0
174,429,100,0,1,16,0
175,429,80,0,1,14,0
176,429,90,0,1,15,0
177,429,110,0,1,17,0
178,429,100,0,1,16,0
179,429,80,0,2,14,0
180,429,90,0,2,15,0
181,429,120,0,1,18,0
182,429,100,0,1,16,0
183,429,120,0,2,18,0
184,429,150,0,2,20,0
185,429,135,0,2,19,0
186,429,165,0,2,21,0
187,429,180,0,2,22,0
188,429,215,0,2,24,0
189,429,255,0,2,26,0
190,429,200,0,2,23,0
191,419,280,0,2,27,0
192,419,350,0,2,30,0
193,429,600,0,2,38,0
194,429,675,0,2,40,0
195,429,800,0,2,43,0
196,429,675,0,1,40,0
197,429,895,0,1,45,0
198,429,995,0,1,47,0
199,429,1045,0,1,48,0
200,429,1155,0,2,50,0
201,429,45,0,1,15,8
202,429,75,0,1,20,8
203,429,120,0,1,25,8
204,429,175,0,2,30,8
205,429,250,0,1,35,8
206,429,340,0,1,40,8
207,429,445,0,1,45,0
208,429,580,0,1,50,0
209,429,730,0,1,55,0
210,429,910,0,1,60,0
211,434,1750,0,1,30,0
212,435,2020,0,1,32,0
213,436,2315,0,1,34,0
214,429,2640,0,1,36,0
215,429,2995,0,1,38,0
216,429,3375,0,1,40,0
217,434,49250,0,1,30,0
218,435,120239,0,1,32,0
219,436,187874,0,1,34,0
220,437,187874,0,1,34,0
221,438,1750,0,1,30,0
222,429,2020,0,1,32,0
223,429,2315,0,1,34,0
224,429,2640,0,1,36,0
225,438,24975,0,1,30,0
226,429,2625,0,1,30,0
227,429,3030,0,1,32,0
228,429,3475,0,1,34,0
229,429,3960,0,1,36,0
230,429,4490,0,1,38,0
231,429,2625,0,1,30,0
232,429,3030,0,1,32,0
233,429,3475,0,1,34,0
234,429,3960,0,1,36,0
235,429,2625,0,1,30,0
236,429,3030,0,1,32,0
237,429,3475,0,1,34,0
238,429,3960,0,1,36,0
239,429,4490,0,1,38,0
240,429,5065,0,1,40,0
241,429,385,10,2,40,7
242,429,385,10,2,40,7
243,429,385,10,2,40,7
244,429,385,10,2,40,7
245,429,385,10,2,40,7
246,429,385,10,2,40,7
247,429,385,10,2,40,7
248,429,385,10,2,40,7
249,429,385,10,2,40,7
250,429,385,10,2,40,7
254,429,1865,0,1,35,0
255,429,2135,0,3,38,0
256,429,3500,0,2,41,0
257,442,95000,0,1,80,0
260,429,845,0,3,44,0
261,429,465,0,1,34,0
262,429,530,0,2,36,0
263,429,600,0,2,38,0
264,429,675,0,2,40,0
265,429,760,0,2,42,0
266,429,845,0,3,44,0
267,429,940,0,2,46,0
268,429,1045,0,1,48,0
269,429,1155,0,1,50,0
270,429,1270,0,2,52,0
271,429,845,0,2,37,0
272,429,900,0,2,38,0
273,429,600,0,2,38,0
274,429,1045,0,1,48,0
275,429,845,0,3,44,0
276,429,1270,0,2,52,0
277,429,800,5,1,35,0
278,429,900,5,1,38,0
279,429,915,5,1,37,0
280,429,975,5,1,38,0
281,429,915,5,2,37,0
282,429,1175,5,3,35,0
283,429,836,5,2,32,0
284,429,952,5,3,35,0
285,429,1029,5,2,36,0
289,429,6035,5,5,50,8
290,429,6035,5,5,50,8
291,429,2195,5,5,35,8
292,429,2195,5,5,35,8
293,429,2195,5,5,35,8
294,429,2195,5,5,35,8
295,429,5485,5,5,35,8
296,429,5485,5,5,35,8
297,429,5485,5,5,35,8
298,429,5485,5,5,35,8
299,429,6035,5,5,50,8
300,429,1,5,10,30,0
301,431,1,0,0,5,0
302,431,2,0,0,10,0
303,431,4,0,1,20,0
304,431,5,0,2,25,0
305,431,6,0,1,30,0
306,431,7,0,2,35,0
307,431,8,0,2,40,0
308,431,0,0,0,0,0
309,431,0,0,0,0,0
310,431,0,0,0,0,0
311,431,3,0,1,15,0
312,431,9,0,2,45,0
313,431,10,0,2,50,0
314,431,11,0,2,55,0
315,431,12,0,2,60,0
316,431,13,0,3,65,0
317,431,14,0,3,70,0
318,431,0,0,0,0,0
319,431,0,0,0,0,0
320,431,0,0,0,0,0
321,432,1,0,0,5,0
322,432,2,0,1,10,0
323,432,3,0,0,15,0
324,432,4,0,1,20,0
325,432,5,0,1,25,0
326,432,6,0,2,30,0
327,432,7,0,2,35,0
328,432,8,0,2,40,0
329,432,0,0,0,0,0
330,432,0,0,0,0,0
331,432,9,0,2,45,0
332,432,10,0,3,50,0
333,432,11,0,3,55,0
334,432,0,0,1,0,0
335,432,0,0,1,0,0
336,432,0,0,1,0,0
337,432,0,0,1,0,0
338,432,0,0,1,0,0
339,432,0,0,1,0,0
340,432,0,0,1,0,0
341,433,1,0,0,5,0
342,433,3,0,1,15,0
343,433,5,0,2,25,0
344,433,7,0,0,35,0
345,433,9,0,1,45,0
346,433,0,0,1,0,0
347,433,0,0,1,0,0
348,433,0,0,1,0,0
349,433,0,0,1,0,0
350,433,0,0,1,0,0
351,433,10,0,2,50,0
352,433,12,0,3,60,0
353,433,0,0,1,0,0
354,433,0,0,1,0,0
355,433,0,0,1,0,0
356,433,0,0,1,0,0
357,433,0,0,1,0,0
358,433,0,0,1,0,0
359,433,0,0,2,0,0
360,433,0,0,2,0,0
361,429,550,10,2,40,7
362,429,550,10,2,40,7
363,429,550,10,2,40,7
364,429,550,10,2,40,7
365,429,550,10,2,40,7
366,429,550,10,2,40,7
367,429,550,10,2,40,7
368,429,550,10,2,40,7
369,429,550,10,2,40,7
370,429,550,10,2,40,7
371,427,1000,8,5,6,7
372,427,2800,8,5,8,7
373,427,3829,8,5,10,7
374,427,4808,8,5,13,7
375,427,5741,8,5,16,7
376,427,6651,8,5,19,7
377,427,7539,8,5,23,7
378,427,8406,5,5,27,7
379,427,9251,5,5,31,7
380,427,10075,5,5,35,7
381,429,735,10,2,40,7
382,429,735,10,2,40,7
383,429,735,10,2,40,7
384,429,735,10,2,40,7
385,429,735,10,2,40,7
386,429,735,10,2,40,7
387,429,735,10,2,40,7
388,429,735,10,2,40,7
389,429,735,10,2,40,7
390,429,735,10,2,40,7
391,423,0,0,0,100,0
392,427,10000,5,5,50,7
393,427,10000,5,5,50,7
394,427,10000,5,5,50,7
398,420,200,10,1,40,7
399,420,72,0,1,40,7
400,420,72,0,1,40,7
401,429,0,0,0,10,0
402,429,0,0,0,10,0
403,429,1000,0,0,10,0
404,429,1667,0,0,10,0
405,429,200,0,0,10,0
407,429,250,0,0,10,0
408,429,250,0,0,10,0
409,429,0,0,0,10,0
410,429,250,0,0,10,0
411,429,0,0,0,10,0
412,429,0,0,0,10,0
413,429,250,0,1,10,0
414,429,250,0,0,10,0
415,429,250,0,0,10,0
416,429,250,0,0,10,0
417,429,100,0,0,10,0
418,429,0,0,0,10,0
419,435,10000,0,1,30,0
420,438,10000,0,1,30,0
421,429,100,0,0,10,0
439,442,0,0,5,10,0
440,442,0,0,50,10,0
441,442,0,0,50,10,0
442,442,0,0,0,10,0
443,442,0,0,0,10,0
444,442,0,0,0,10,0
445,410,0,5,1,80,7
446,440,0,5,1,80,7
447,439,0,5,1,80,7
448,439,0,5,1,80,7
449,440,0,5,1,80,7
450,439,0,5,1,80,7
451,442,0,0,0,10,0
452,442,0,0,0,10,0
453,442,0,0,0,10,0
454,442,0,0,0,10,0
455,442,0,0,0,80,0
456,409,0,5,1,80,7
457,409,0,5,1,80,7
460,431,0,0,0,10,0
461,431,0,0,0,20,0
462,431,0,0,0,25,0
463,431,0,0,0,30,0
464,431,0,0,0,35,0
465,431,0,0,0,40,0
468,431,0,0,0,15,0
469,431,0,0,0,45,0
470,431,0,0,0,50,0
471,431,0,0,0,55,0
472,431,0,0,0,60,0
473,431,0,0,0,65,0
474,431,0,0,0,70,0
476,432,0,0,0,10,0
477,432,0,0,0,15,0
478,432,0,0,0,20,0
479,432,0,0,0,25,0
480,432,0,0,0,30,0
481,432,0,0,0,35,0
482,432,0,0,0,40,0
484,432,0,0,0,45,0
485,432,0,0,0,50,0
486,432,0,0,0,55,0
489,433,0,0,0,15,0
490,433,0,0,0,25,0
491,433,0,0,0,35,0
492,433,0,0,0,45,0
494,433,0,0,0,50,0
495,433,0,0,0,60,0
501,427,790,5,1,35,7
502,427,750,5,1,80,7
503,427,1000,5,1,35,7
504,427,1000,5,1,80,7
511,408,1500,10,1,1,7
512,408,625,10,1,5,7
513,408,875,10,1,7,7
514,408,875,10,1,7,7
515,408,1125,10,1,9,7
516,408,1375,10,1,11,7
517,408,1625,10,1,13,7
518,408,1875,10,1,15,7
519,408,0,10,1,0,7
520,408,0,10,1,0,7
521,408,0,10,1,0,7
522,408,2250,10,1,18,7
523,408,0,10,1,0,7
524,408,0,10,1,0,7
525,408,2625,10,1,21,7
526,408,0,10,1,0,7
527,408,3000,10,1,24,7
528,408,0,10,1,0,7
529,408,3375,10,1,27,7
530,408,0,10,1,0,7
531,408,0,10,1,0,7
550,410,0,5,1,80,7
551,410,0,5,1,80,7
601,430,0,0,5,60,8
602,430,0,0,3,60,8
603,430,0,0,2,60,8
604,430,0,0,3,60,8
605,430,0,0,2,60,8
606,430,0,0,3,60,8
607,430,0,0,2,60,8
608,430,0,0,2,60,8
609,430,0,0,1,60,8
610,430,0,0,2,60,8
621,430,0,0,1,60,0
622,430,0,0,1,60,0
641,430,0,0,1,60,0
642,430,0,0,1,60,0
643,430,0,0,1,60,0
661,430,0,0,1,60,0
662,430,0,0,1,60,0
681,430,0,0,1,60,0
682,430,0,0,1,60,0
683,430,0,0,1,60,0
684,430,0,0,1,60,0
685,430,0,0,1,60,0
686,430,0,0,1,60,0
800,429,1008,5,3,35,0
801,429,669,5,2,35,0
802,429,860,5,2,35,0
803,429,656,5,2,35,0
804,429,987,5,3,35,0
805,429,509,5,1,35,0
806,429,684,5,2,35,0
807,429,714,5,2,35,0
808,429,594,5,2,35,0
809,429,927,5,3,35,0
810,429,811,5,2,35,0
811,429,904,5,3,35,0
812,429,1126,5,3,35,0
813,429,1181,5,3,35,0
814,429,906,5,3,35,0
815,429,690,5,2,35,0
816,429,568,5,2,35,0
817,429,1101,5,3,35,0
818,429,1047,5,3,35,0
819,429,690,5,2,35,0
820,429,568,5,2,35,0
821,429,1345,5,4,35,0
822,429,1101,5,3,35,0
823,429,373,5,1,35,0
824,429,467,5,1,35,0
825,429,808,5,2,35,0
826,429,732,5,2,35,0
827,429,815,5,2,35,0
828,429,1192,5,3,35,0
829,429,1178,5,3,35,0
830,429,452,5,1,35,0
831,429,719,5,2,35,0
832,429,848,5,2,35,0
833,429,452,5,1,35,0
834,429,594,5,2,35,0
835,429,1096,5,3,35,0
836,429,358,5,1,35,0
837,429,559,5,2,35,0
838,429,648,5,2,35,0
839,429,614,5,2,35,0
840,429,442,5,1,35,0
841,429,401,5,1,35,0
842,429,309,5,1,35,0
843,429,598,5,2,35,0
844,429,863,5,2,35,0
845,429,738,5,2,35,0
846,429,541,5,2,35,0
901,429,100,5,1,35,0
902,429,100,5,1,35,0
903,429,100,5,1,35,0
904,429,100,5,1,35,0
905,429,100,5,1,35,0
906,429,100,5,1,35,0
907,429,100,5,1,35,0
908,429,100,5,1,35,0
909,429,100,5,1,35,0
910,429,100,5,1,35,0
911,429,100,5,1,35,0
912,429,100,5,1,35,0
913,429,100,5,1,35,0
914,429,100,5,1,35,0
915,429,100,5,1,35,0
916,429,100,5,1,35,0
917,429,100,5,1,35,0
918,429,100,5,1,35,0
919,429,100,5,1,35,0
1000,409,0,0,0,100,0
